33.763,21.48,-0.0893,1
33.822,21.463,-0.0616,1
33.881,21.446,-0.0885,1
33.939,21.429,-0.0574,1
33.998,21.411,-0.0899,1
34.057,21.394,-0.0562,1
34.115,21.377,-0.0775,1
35.405,20.996,0.039,1
35.463,20.978,0.021,1
35.522,20.961,0.0314,1
35.581,20.943,0.0526,1
35.639,20.925,0.0576,1
35.698,20.908,0.0551,1
35.756,20.89,0.0524,1
37.103,20.479,-0.0032,1
37.162,20.46,-0.0234,1
37.22,20.442,-0.0142,1
37.279,20.424,-0.0194,1
37.337,20.406,0.0014,1
37.396,20.388,0.0287,1
38.8,19.943,0.0266,1
38.858,19.924,-0.0302,1
38.917,19.906,0.0217,1
38.975,19.887,0.0128,1
39.034,19.868,0.0204,1
44.577,-7.3011,0.1045,1
44.636,-7.3228,0.1191,1
44.694,-7.3445,0.1036,1
44.752,-7.3662,0.1044,1
44.81,-7.388,0.1009,1
44.868,-7.4098,0.0915,1
44.926,-7.4317,0.0878,1
46.205,-7.9217,0.1154,1
46.263,-7.9444,0.0946,1
46.321,-7.9671,0.0895,1
46.379,-7.9899,0.0638,1
32.276,28.416,0.0587,1
32.335,28.4,0.0877,1
32.394,28.383,0.1249,1
32.452,28.366,0.1306,1
32.511,28.35,0.1629,1
32.57,28.333,0.1394,1
32.629,28.316,0.1296,1
33.919,27.945,-0.0173,1
33.978,27.928,0.0071,1
34.037,27.911,-0.0438,1
34.095,27.894,-0.0237,1
34.154,27.876,-0.015,1
34.213,27.859,0.0156,1
34.271,27.842,0.0047,1
35.561,27.46,-0.0134,1
35.619,27.442,0.0628,1
35.678,27.424,0.0645,1
35.737,27.407,0.0843,1
35.795,27.389,0.0792,1
35.854,27.371,0.0586,1
35.912,27.354,0.0659,1
37.201,26.959,0.0957,1
37.259,26.941,0.0867,1
37.318,26.922,0.1058,1
37.376,26.904,0.0888,1
37.435,26.886,0.1042,1
37.493,26.868,0.0811,1
37.552,26.849,0.0966,1
36.661,1.8782,0.0093,1
36.719,1.8602,0.0236,1
36.778,1.8422,-0.0278,1
36.837,1.8242,-0.1048,1
36.895,1.8061,-0.0941,1
38.241,1.3849,-0.0749,1
38.3,1.3664,-0.027,1
38.358,1.3478,-0.0217,1
38.417,1.3291,-0.0202,1
38.475,1.3105,-0.0327,1
38.534,1.2918,0.0006,1
39.878,0.85562,-0.0289,1
39.936,0.83636,-0.0672,1
39.995,0.81707,-0.0784,1
40.053,0.79775,-0.0647,1
40.112,0.77841,-0.0496,1
40.17,0.75905,-0.0566,1
36.29,35.753,0.2126,1
36.232,35.736,0.1649,1
36.173,35.718,0.1341,1
36.115,35.7,0.0842,1
